model,dataset,method,batch_size,lr,wd,momentum,epochs,scheduler,seed,wd_sched,exp,sum_lr,best_test_acc,final_test_acc,final_train_loss,final_train_acc,final_test_loss,diverged,epochs_run,wall_time
resnet18,cifar100,SGD+WD,128,0.1,0.05,0.0,15,const,42,fixed,e3,586.5000000000001,9.32,3.66,4.137872206726074,6.958,4.407098735046387,0,15,347.9
resnet18,cifar100,SGDM+WD,128,1.549193,0.001,0.9,15,const,42,fixed,e3,9086.016945,2.61,1.0,4.632752343902588,0.992,4.634874380493164,0,15,347.6
resnet18,cifar100,SGD,128,11.892071,0.0,0.0,15,const,42,fixed,e3,4649.799761,1.0,1.0,nan,1.018,nan,1,1,52.7
resnet18,cifar100,SGDM+WD,128,1.113263,0.001,0.9,15,const,42,fixed,e3,6529.287495,5.65,3.58,4.1740801600646975,5.27,4.929237688446045,0,15,270.2
resnet18,cifar100,SGDM,128,1.113263,0.0,0.9,15,const,42,fixed,e3,6529.287495,34.31,33.22,2.425061474761963,36.102,2.6094931968688964,0,15,271.3
resnet18,cifar100,SGD+WD,128,1.113263,0.01,0.0,15,const,42,fixed,e3,6529.287495,4.79,1.5,4.35050408203125,3.204,4.651148752593994,0,15,274.9
resnet18,cifar100,SGDM+WD,128,0.141421,0.01,0.9,15,const,42,fixed,e3,829.434165,5.75,3.05,4.119630210113526,5.57,4.6630847404479985,0,15,275.0
resnet18,cifar100,SGD+WD,128,7.400828,0.001,0.0,15,const,42,fixed,e3,43405.85621999999,6.73,6.58,3.7985028062438966,10.87,4.76081763381958,0,15,347.6
resnet18,cifar100,SGD+WD,128,0.141421,0.05,0.0,15,const,42,fixed,e3,829.434165,7.03,1.78,4.439080370788575,3.208,4.50007477722168,0,15,346.5
resnet18,cifar100,SGD+WD,128,0.070711,0.1,0.0,15,const,42,fixed,e3,414.7200150000001,4.99,1.0,4.605289375,0.916,4.605176830291748,0,15,347.5
resnet18,cifar100,SGD+WD,128,8.602807,0.001,0.0,15,const,42,fixed,e3,50455.463055,3.95,3.17,4.266524486999511,4.034,4.661754136657715,0,15,269.6
resnet18,cifar100,SGD+WD,128,0.05946,0.1,0.0,15,const,42,fixed,e3,348.7329,6.75,1.0,4.605272655944824,0.906,4.605174760437012,0,15,268.4
resnet18,cifar100,SGD+WD,128,0.943722,0.01,0.0,15,const,42,fixed,e3,5534.929529999999,6.12,4.1,4.009126691894531,7.612,4.606848206329346,0,15,330.7
resnet18,cifar100,SGDM+WD,128,0.168179,0.01,0.9,15,const,42,fixed,e3,986.3698349999996,4.81,3.17,4.14477591796875,5.422,4.542982919311523,0,15,332.3
resnet18,cifar100,SGD+WD,128,0.168179,0.05,0.0,15,const,42,fixed,e3,986.3698349999996,6.21,2.61,4.472823437194824,2.502,4.525145307922363,0,15,332.5
resnet18,cifar100,SGD,128,10.905077,0.0,0.0,15,const,42,fixed,e3,63958.27660500002,24.1,24.1,2.908437499923706,26.412,3.1624401222229004,0,15,346.4
