model,dataset,method,batch_size,lr,wd,momentum,epochs,scheduler,seed,wd_sched,exp,sum_lr,best_test_acc,final_test_acc,final_train_loss,final_train_acc,final_test_loss,diverged,epochs_run,wall_time
resnet34,cifar100,SGDM+WD,128,0.1,0.01359,0.9,100,cosine,42,linear_up,e12_matched,1974.55,70.15,70.15,0.8262440019607544,80.94,1.102600979232788,0,100,1468.7
resnet34,cifar100,SGDM+WD,128,0.1,0.005669,0.9,100,cosine,42,linear,e12_matched,1974.55,65.07,65.07,0.4062096963405609,88.46,1.3513112949371338,0,100,1557.4
resnet34,cifar100,SGDM+WD,128,0.1,0.002324,0.9,100,cosine,42,iso_product,e12_matched,1974.55,69.87,69.87,1.0090348675537109,79.014,1.202223575782776,0,100,1025.9
resnet34,cifar100,SGD+WD,128,0.1,0.007086,0.0,100,cosine,42,linear,e12_matched,1974.55,78.52,78.37,0.01224998300999403,99.932,0.968655805683136,0,100,2432.1
resnet34,cifar100,SGD+WD,128,0.1,0.03397,0.0,100,cosine,42,linear_up,e12_matched,1974.55,79.22,79.22,0.3358396814060211,98.8,0.9396979318618774,0,100,2434.8
resnet34,cifar100,SGD+WD,128,0.1,0.005809,0.0,100,cosine,42,iso_product,e12_matched,1974.55,78.98,78.85,0.7788087317276001,96.23,1.1970668924331664,0,100,2448.9
resnet34,cifar100,SGD+WD,128,0.1,0.05095,0.0,100,cosine,42,linear_up,e12_matched,1974.55,77.13,77.13,0.652923677368164,94.472,1.0968081108093262,0,100,2456.6
resnet34,cifar100,SGD+WD,128,0.1,0.01417,0.0,100,cosine,42,linear,e12_matched,1974.55,78.22,78.0,0.021698671723604204,99.91,0.9572757043838501,0,100,3378.0
resnet34,cifar100,SGD+WD,128,0.1,0.02126,0.0,100,cosine,42,linear,e12_matched,1974.55,77.78,77.74,0.034574489438533786,99.792,0.9450966543197632,0,100,3390.8
resnet34,cifar100,SGD+WD,128,0.1,0.01698,0.0,100,cosine,42,linear_up,e12_matched,1974.55,79.3,79.07,0.14766607039928437,99.858,0.9076586837768554,0,100,3456.8
resnet34,cifar100,SGD+WD,128,0.1,0.002904,0.0,100,cosine,42,iso_product,e12_matched,1974.55,79.0,78.74,0.2932034759426117,99.682,0.9972413856506348,0,100,3459.0
resnet34,cifar100,SGD+WD,128,0.1,0.008713,0.0,100,cosine,42,iso_product,e12_matched,1974.55,69.9,69.81,1.721754287033081,80.002,1.849395941734314,0,100,2436.4
resnet34,cifar100,SGD+WD,128,0.1,0.06794,0.0,100,cosine,42,linear_up,e12_matched,1974.55,72.28,72.28,1.1150167694473267,85.456,1.3817066911697389,0,100,2440.3
resnet34,cifar100,SGD+WD,128,0.1,0.02834,0.0,100,cosine,42,linear,e12_matched,1974.55,76.77,76.73,0.050075850639343264,99.666,0.9795367666244507,0,100,2449.3
resnet34,cifar100,SGD+WD,128,0.1,0.01162,0.0,100,cosine,42,iso_product,e12_matched,1974.55,40.65,38.68,3.294168271408081,39.786,3.252513606262207,0,100,2449.9
resnet34,cifar100,SGD+WD,128,0.1,0.1019,0.0,100,cosine,42,linear_up,e12_matched,1974.55,46.84,46.84,2.389384970550537,50.61,2.4177452987670898,0,100,3128.5
resnet34,cifar100,SGD+WD,128,0.1,0.04252,0.0,100,cosine,42,linear,e12_matched,1974.55,73.77,73.71,0.15463392563343048,97.664,1.0395550119400025,0,100,3130.2
resnet34,cifar100,SGD+WD,128,0.1,0.06378,0.0,100,cosine,42,linear,e12_matched,1974.55,19.97,19.97,3.204921544189453,20.316,3.1474792808532714,0,100,2431.3
resnet34,cifar100,SGD+WD,128,0.1,0.02614,0.0,100,cosine,42,iso_product,e12_matched,1974.55,25.26,1.0,4.60546875,1.0,4.605170209503174,0,100,2432.5
resnet34,cifar100,SGD+WD,128,0.1,0.2548,0.0,100,cosine,42,linear_up,e12_matched,1974.55,35.8,1.0,4.60546875,1.0,4.605170198822021,0,100,2415.5
resnet34,cifar100,SGD+WD,128,0.1,0.1063,0.0,100,cosine,42,linear,e12_matched,1974.55,3.53,1.0,4.60546875,1.0,4.605170388793946,0,100,2419.5
resnet34,cifar100,SGD+WD,128,0.1,0.04357,0.0,100,cosine,42,iso_product,e12_matched,1974.55,9.13,1.0,4.60546875,1.0,4.605169835662842,0,100,2204.0
