setting,phase,wd_sched,lambda0,budget_c,best_acc,diverged,exp,src
resnet18/cifar100,SGDM,fixed,0.001,1.6666666666666652,77.28,0,e1_prelim,e11
resnet18/cifar100,SGDM,fixed,0.0012,2.0,77.13,0,e1_rescue,e11
resnet18/cifar100,SGDM,fixed,0.0015,2.4999999999999982,77.37,0,e1_rescue,e11
resnet18/cifar100,SGDM,fixed,0.001795,2.991666666666664,76.19,0,e5b,e11
resnet18/cifar100,SGDM,fixed,0.002,3.3333333333333304,76.06,0,e1_fine,e11
resnet18/cifar100,SGDM,fixed,0.00225,3.7499999999999996,75.5,0,e2b,e11
resnet18/cifar100,SGDM,fixed,0.0025,4.166666666666665,74.94,0,e1_rescue,e11
resnet18/cifar100,SGDM,fixed,0.002918,4.8633333333333315,74.24,0,e5b,e11
resnet18/cifar100,SGDM,fixed,0.003,4.9999999999999964,73.57,0,e6b,e11
resnet18/cifar100,SGDM,fixed,0.005,8.33333333333333,68.28,0,e1_prelim,e11
resnet18/cifar100,SGDM,fixed,0.005982,9.969999999999995,63.91,0,e5b,e11
resnet18/cifar100,SGDM,fixed,0.009727,16.21166666666665,44.97,0,e5b,e11
resnet18/cifar100,SGDM,fixed,0.01,16.66666666666666,42.07,0,e1_fine,e11
resnet18/cifar100,SGDM,fixed,0.02,33.33333333333332,3.8,0,e1_prelim,e11
resnet18/cifar100,SGDM,iso_product,0.0001,0.28691822888688095,75.56,0,e9_iso,e11
resnet18/cifar100,SGDM,iso_product,0.0001158,0.3322513090510072,75.86,0,e9_matched,e11
resnet18/cifar100,SGDM,iso_product,0.0003475,0.9970408453819104,78.22,0,e9_matched,e11
resnet18/cifar100,SGDM,iso_product,0.0005,1.434591144434403,77.98,0,e9_iso,e11
resnet18/cifar100,SGDM,iso_product,0.0005212,1.4954178089584211,77.93,0,e11_matched,e11
resnet18/cifar100,SGDM,iso_product,0.000695,1.9940816907638208,78.19,0,e11_matched,e11
resnet18/cifar100,SGDM,iso_product,0.0008687,2.492458654340333,77.62,0,e11_matched,e11
resnet18/cifar100,SGDM,iso_product,0.001,2.869182288868806,77.98,0,e9_iso,e11
resnet18/cifar100,SGDM,iso_product,0.001042,2.9896879450012914,77.5,0,e9_matched,e11
resnet18/cifar100,SGDM,iso_product,0.00139,3.9881633815276416,75.42,0,e11_matched,e11
resnet18/cifar100,SGDM,iso_product,0.002,5.738364577737612,70.36,0,e9_iso,e11
resnet18/cifar100,SGDM,iso_product,0.002085,5.982245072291465,70.04,0,e11_matched,e11
resnet18/cifar100,SGDM,iso_product,0.003127,8.971933017292745,57.58,0,e11_matched,e11
resnet18/cifar100,SGDM,iso_product,0.005,14.345911444344033,22.13,0,e9_iso,e11
resnet18/cifar100,SGDM,linear,0.0002826,0.33233901522621706,74.43,0,e9_matched,e11
resnet18/cifar100,SGDM,linear,0.0008478,0.9970170456786509,76.44,0,e9_matched,e11
resnet18/cifar100,SGDM,linear,0.002543,2.9905807350328018,75.53,0,e9_matched,e11
resnet18/cifar100,SGDM,linear_up,0.0001,0.04906616587890404,72.07,0,e11_raise,e11
resnet18/cifar100,SGDM,linear_up,0.0005,0.24533082939452028,74.92,0,e11_raise,e11
resnet18/cifar100,SGDM,linear_up,0.0006773,0.33232514149781706,75.84,0,e11_matched,e11
resnet18/cifar100,SGDM,linear_up,0.001,0.49066165878904056,76.5,0,e11_raise,e11
resnet18/cifar100,SGDM,linear_up,0.002,0.9813233175780811,77.98,0,e11_raise,e11
resnet18/cifar100,SGDM,linear_up,0.002032,0.9970244906593302,77.81,0,e11_matched,e11
resnet18/cifar100,SGDM,linear_up,0.003048,1.495536735988995,78.44,0,e11_matched,e11
resnet18/cifar100,SGDM,linear_up,0.004064,1.9940489813186604,78.45,0,e11_matched,e11
resnet18/cifar100,SGDM,linear_up,0.005,2.453308293945202,78.28,0,e11_raise,e11
resnet18/cifar100,SGDM,linear_up,0.00508,2.492561226648325,77.77,0,e11_matched,e11
resnet18/cifar100,SGDM,linear_up,0.006096,2.99107347197799,77.44,0,e11_matched,e11
resnet18/cifar100,SGDM,linear_up,0.008128,3.9880979626373207,76.18,0,e11_matched,e11
resnet18/cifar100,SGDM,linear_up,0.01,4.906616587890404,74.13,0,e11_raise,e11
resnet18/cifar100,SGDM,linear_up,0.01219,5.981165620638401,72.53,0,e11_matched,e11
resnet18/cifar100,SGDM,linear_up,0.01829,8.974201739251548,64.49,0,e11_matched,e11
resnet18/cifar100,SGDM,linear_up,0.02,9.813233175780807,61.38,0,e11_raise,e11
resnet18/cifar100,SGDM,linear_up,0.05,24.53308293945201,32.71,0,e11_raise,e11
resnet50/cifar100,SGD,fixed,0.001,0.19999999999999987,77.63,0,e12_fixed,e12
resnet50/cifar100,SGD,fixed,0.002,0.39999999999999974,78.64,0,e12_fixed,e12
resnet50/cifar100,SGD,fixed,0.003,0.5999999999999998,78.94,0,e12_fixed,e12
resnet50/cifar100,SGD,fixed,0.005,1.0,79.21,0,e12_fixed,e12
resnet50/cifar100,SGD,fixed,0.0075,1.5000000000000002,78.98,0,e12_fixed,e12
resnet50/cifar100,SGD,fixed,0.01,2.0,78.65,0,e12_fixed,e12
resnet50/cifar100,SGD,fixed,0.02,4.0,73.4,0,e12_fixed,e12
resnet50/cifar100,SGDM,fixed,0.0001,0.10395010395010401,72.66,0,e12_fixed,e12
resnet50/cifar100,SGDM,fixed,0.000256,0.26611226611226635,76.19,0,e4,e11
resnet50/cifar100,SGDM,fixed,0.0003,0.3118503118503121,74.94,0,e12_fixed,e12
resnet50/cifar100,SGDM,fixed,0.000598,0.621621621621622,76.86,0,e4,e11
resnet50/cifar100,SGDM,fixed,0.0006,0.6237006237006242,76.07,0,e12_fixed,e12
resnet50/cifar100,SGDM,fixed,0.000962,1.0,78.2,0,e4,e11
resnet50/cifar100,SGDM,fixed,0.001,1.0395010395010393,75.66,0,e12_fixed,e12
resnet50/cifar100,SGDM,fixed,0.002,2.0790020790020787,72.34,0,e12_fixed,e12
resnet50/cifar100,SGDM,fixed,0.003,3.118503118503119,64.52,0,e12_fixed,e12
resnet50/cifar100,SGDM,fixed,0.005,5.1975051975052,55.48,0,e12_fixed,e12
vgg16/cifar100,SGD,fixed,0.001,0.09999999999999994,72.35,0,e12_fixed,e12
vgg16/cifar100,SGD,fixed,0.002,0.19999999999999987,73.67,0,e12_fixed,e12
vgg16/cifar100,SGD,fixed,0.003,0.2999999999999999,74.2,0,e12_fixed,e12
vgg16/cifar100,SGD,fixed,0.005,0.5,74.83,0,e12_fixed,e12
vgg16/cifar100,SGD,fixed,0.0075,0.7500000000000001,74.95,0,e12_fixed,e12
vgg16/cifar100,SGD,fixed,0.01,1.0,75.16,0,e12_fixed,e12
vgg16/cifar100,SGD,fixed,0.02,2.0,74.1,0,e12_fixed,e12
vgg16/cifar100,SGD,iso_product,0.005809,1.000024794962334,75.89,0,e12_matched,e12
vgg16/cifar100,SGD,iso_product,0.01162,2.0003938917993302,47.34,0,e12_matched,e12
